"";"comuna_datachile_id";"candidato_id";"votos_candidato";"electo";"year";"election_id";"candidato";"region_id";"region_name";"comuna_name"
"193";7;535;14;0;2017;1;"Alejandro Navarro Brain";4;"Coquimbo";"Andacollo"
"194";7;2550;2295;1;2017;2;" Sebastian Pinera Echenique";4;"Coquimbo";"Andacollo"
"195";7;8;77;0;2013;1;"Votos Nulos";4;"Coquimbo";"Andacollo"
"196";7;2;1017;0;2013;1;"Evelyn Matthei Fornet";4;"Coquimbo";"Andacollo"
"197";7;9;20;0;2013;2;"Votos En Blanco";4;"Coquimbo";"Andacollo"
"198";7;2;1153;0;2013;2;"Evelyn Matthei Fornet";4;"Coquimbo";"Andacollo"
"199";7;2551;980;0;2017;1;"Beatriz Sanchez Munoz";4;"Coquimbo";"Andacollo"
"200";7;1;3807;1;2013;2;"Michelle Bachelet Jeria";4;"Coquimbo";"Andacollo"
"201";7;4;438;0;2013;1;"Franco Aldo Parisi Fernandez";4;"Coquimbo";"Andacollo"
"202";7;7;41;0;2013;1;"Roxana Miranda Meneses";4;"Coquimbo";"Andacollo"
"203";7;567;1614;0;2017;1;"Alejandro Guillier Alvarez";4;"Coquimbo";"Andacollo"
"204";8;567;3714;0;2017;1;"Alejandro Guillier Alvarez";9;"Araucania";"Angol"
"205";8;3;1391;0;2013;1;"Marco Enriquez-Ominami Gumucio";9;"Araucania";"Angol"
"206";8;9;174;0;2013;1;"Votos En Blanco";9;"Araucania";"Angol"
"207";8;9;80;0;2013;2;"Votos En Blanco";9;"Araucania";"Angol"
"208";8;9;181;0;2017;1;"Votos En Blanco";9;"Araucania";"Angol"
"209";8;2550;15791;1;2017;2;" Sebastian Pinera Echenique";9;"Araucania";"Angol"
"210";8;2;6407;0;2013;1;"Evelyn Matthei Fornet";9;"Araucania";"Angol"
"211";8;8;244;0;2017;1;"Votos Nulos";9;"Araucania";"Angol"
"212";8;8;192;0;2013;2;"Votos Nulos";9;"Araucania";"Angol"
"213";8;1;11513;1;2013;2;"Michelle Bachelet Jeria";9;"Araucania";"Angol"
"214";8;2551;2334;0;2017;1;"Beatriz Sanchez Munoz";9;"Araucania";"Angol"
"215";8;5;272;0;2013;1;"Marcel Claude Reyes";9;"Araucania";"Angol"
"216";8;4;2476;0;2013;1;"Franco Aldo Parisi Fernandez";9;"Araucania";"Angol"
"217";8;8;135;0;2017;2;"Votos Nulos";9;"Araucania";"Angol"
"218";8;7;244;0;2013;1;"Roxana Miranda Meneses";9;"Araucania";"Angol"
"219";8;1;11087;0;2013;1;"Michelle Bachelet Jeria";9;"Araucania";"Angol"
"220";8;147;3076;0;2017;1;"Jose Antonio Kast Rist";9;"Araucania";"Angol"
"221";8;11;60;0;2013;1;"Tomas Jocelyn-Holt Letelier";9;"Araucania";"Angol"
"222";8;561;1218;0;2017;1;"Carolina Goic Boroevic";9;"Araucania";"Angol"
"223";8;535;52;0;2017;1;"Alejandro Navarro Brain";9;"Araucania";"Angol"
"224";8;2550;9302;0;2017;1;" Sebastian Pinera Echenique";9;"Araucania";"Angol"
"225";8;3;1066;0;2017;1;"Marco Enriquez-Ominami Gumucio";9;"Araucania";"Angol"
"226";8;6;193;0;2013;1;"Alfredo Sfeir Younis";9;"Araucania";"Angol"
"227";8;567;7184;0;2017;2;"Alejandro Guillier Alvarez";9;"Araucania";"Angol"
"228";8;10;102;0;2013;1;"Ricardo Israel Zipper";9;"Araucania";"Angol"
"229";8;9;233;0;2017;2;"Votos En Blanco";9;"Araucania";"Angol"
"230";8;2;7896;0;2013;2;"Evelyn Matthei Fornet";9;"Araucania";"Angol"
"231";8;2552;111;0;2017;1;"Eduardo Artes Brichetti";9;"Araucania";"Angol"
"232";8;8;283;0;2013;1;"Votos Nulos";9;"Araucania";"Angol"
"233";9;2;28109;0;2013;2;"Evelyn Matthei Fornet";2;"Antofagasta";"Antofagasta"
"234";9;1;45246;1;2013;2;"Michelle Bachelet Jeria";2;"Antofagasta";"Antofagasta"
"235";9;9;309;0;2017;1;"Votos En Blanco";2;"Antofagasta";"Antofagasta"
"236";9;8;929;0;2017;1;"Votos Nulos";2;"Antofagasta";"Antofagasta"
"237";9;3;7121;0;2017;1;"Marco Enriquez-Ominami Gumucio";2;"Antofagasta";"Antofagasta"
"238";9;9;405;0;2013;2;"Votos En Blanco";2;"Antofagasta";"Antofagasta"
"239";9;2551;25062;0;2017;1;"Beatriz Sanchez Munoz";2;"Antofagasta";"Antofagasta"
"240";9;567;49811;0;2017;2;"Alejandro Guillier Alvarez";2;"Antofagasta";"Antofagasta"
"241";9;147;8162;0;2017;1;"Jose Antonio Kast Rist";2;"Antofagasta";"Antofagasta"
"242";9;5;3053;0;2013;1;"Marcel Claude Reyes";2;"Antofagasta";"Antofagasta"
"243";9;7;1007;0;2013;1;"Roxana Miranda Meneses";2;"Antofagasta";"Antofagasta"
"244";9;535;246;0;2017;1;"Alejandro Navarro Brain";2;"Antofagasta";"Antofagasta"
"245";9;2550;37566;0;2017;1;" Sebastian Pinera Echenique";2;"Antofagasta";"Antofagasta"
"246";9;6;1725;0;2013;1;"Alfredo Sfeir Younis";2;"Antofagasta";"Antofagasta"
"247";9;11;124;0;2013;1;"Tomas Jocelyn-Holt Letelier";2;"Antofagasta";"Antofagasta"
"248";9;9;212;0;2017;2;"Votos En Blanco";2;"Antofagasta";"Antofagasta"
"249";9;567;24703;0;2017;1;"Alejandro Guillier Alvarez";2;"Antofagasta";"Antofagasta"
"250";9;8;1004;0;2017;2;"Votos Nulos";2;"Antofagasta";"Antofagasta"
"251";9;8;1472;0;2013;2;"Votos Nulos";2;"Antofagasta";"Antofagasta"
"252";9;9;339;0;2013;1;"Votos En Blanco";2;"Antofagasta";"Antofagasta"
"253";9;4;22172;0;2013;1;"Franco Aldo Parisi Fernandez";2;"Antofagasta";"Antofagasta"
"254";9;8;842;0;2013;1;"Votos Nulos";2;"Antofagasta";"Antofagasta"
"255";9;2550;58751;1;2017;2;" Sebastian Pinera Echenique";2;"Antofagasta";"Antofagasta"
"256";9;1;37813;0;2013;1;"Michelle Bachelet Jeria";2;"Antofagasta";"Antofagasta"
"257";9;2;20344;0;2013;1;"Evelyn Matthei Fornet";2;"Antofagasta";"Antofagasta"
"258";9;561;4108;0;2017;1;"Carolina Goic Boroevic";2;"Antofagasta";"Antofagasta"
"259";9;2552;403;0;2017;1;"Eduardo Artes Brichetti";2;"Antofagasta";"Antofagasta"
"260";9;3;14689;0;2013;1;"Marco Enriquez-Ominami Gumucio";2;"Antofagasta";"Antofagasta"
"261";9;10;488;0;2013;1;"Ricardo Israel Zipper";2;"Antofagasta";"Antofagasta"
"262";10;11;5;0;2013;1;"Tomas Jocelyn-Holt Letelier";8;"Bio Bio";"Antuco"
"263";10;5;25;0;2013;1;"Marcel Claude Reyes";8;"Bio Bio";"Antuco"
"264";10;561;198;0;2017;1;"Carolina Goic Boroevic";8;"Bio Bio";"Antuco"
"265";10;147;127;0;2017;1;"Jose Antonio Kast Rist";8;"Bio Bio";"Antuco"
"266";10;535;5;0;2017;1;"Alejandro Navarro Brain";8;"Bio Bio";"Antuco"
"267";10;1;1398;0;2013;1;"Michelle Bachelet Jeria";8;"Bio Bio";"Antuco"
"268";10;8;22;0;2013;2;"Votos Nulos";8;"Bio Bio";"Antuco"
"269";10;10;17;0;2013;1;"Ricardo Israel Zipper";8;"Bio Bio";"Antuco"
"270";10;9;8;0;2013;2;"Votos En Blanco";8;"Bio Bio";"Antuco"
"271";10;6;19;0;2013;1;"Alfredo Sfeir Younis";8;"Bio Bio";"Antuco"
"272";10;1;1425;1;2013;2;"Michelle Bachelet Jeria";8;"Bio Bio";"Antuco"
"273";10;2;426;0;2013;2;"Evelyn Matthei Fornet";8;"Bio Bio";"Antuco"
"274";10;2552;11;0;2017;1;"Eduardo Artes Brichetti";8;"Bio Bio";"Antuco"
"275";10;2;362;0;2013;1;"Evelyn Matthei Fornet";8;"Bio Bio";"Antuco"
"276";10;8;30;0;2013;1;"Votos Nulos";8;"Bio Bio";"Antuco"
